probeset_id,gene_symbol,pvalue,FDR,logFC,LCC1-P18.CEL,LCC1-P19.CEL,LCC1-P20.CEL,LCC9 -P12.CEL,LCC9 -P13.CEL,LCC9 -P14.CEL
204747_at,IFIT3,0.002985265,0.011579629,0.456334015,5.787970678,5.481102593,5.866844563,6.146487809,6.282995954,6.075436115
227370_at,FAM171B,0.002992863,0.011607181,-0.378851688,7.833828218,7.995340984,8.045022895,7.577283331,7.710928681,7.449425022
203711_s_at,HIBCH,0.002996034,0.011610918,-0.393086248,8.310058946,8.309373266,8.258384522,7.722065568,8.082028442,7.894463981
208436_s_at,IRF7,0.002995582,0.011610918,0.291571455,6.545013126,6.647023946,6.5148215,6.794998093,6.902975774,6.88359907
221988_at,SMIM7,0.002996302,0.011610918,0.391223744,7.543858874,7.812994817,7.742891933,7.980601002,8.210483705,8.08233215
227260_at,---,0.002996014,0.011610918,-0.439397144,6.717148213,6.478935344,6.775301726,6.165210125,6.387264016,6.10071971
229776_at,SLCO3A1,0.002994353,0.011610918,-0.356684059,6.699103278,6.655071393,6.698748263,6.245628623,6.501708053,6.235534082
209454_s_at,TEAD3,0.002997654,0.011614238,-0.302193188,7.889230047,8.080106215,7.990896634,7.681308276,7.721898135,7.650446921
226874_at,KLHL8,0.003000723,0.011624208,0.366495997,9.32881185,9.059488936,9.063844752,9.471324288,9.565216621,9.515092621
36475_at,GCAT,0.003003475,0.011632947,-0.261962648,8.514694531,8.545085225,8.541318129,8.267257902,8.317677677,8.230274363
208667_s_at,ST13,0.00300503,0.011637048,-0.305226221,10.89903654,10.79782299,10.76884713,10.44309008,10.60213234,10.50480558
206874_s_at,SLK,0.003006174,0.011639556,0.316689332,7.025241206,7.077294333,7.189384618,7.405725518,7.499395066,7.336867568
225989_at,HERC4,0.003008244,0.011645648,-0.27009359,7.969145335,7.96021479,8.05049771,7.721555647,7.7601388,7.687882618
1557065_at,YLPM1,0.003015386,0.011669444,-0.438735502,6.002871427,6.368034816,6.38737261,5.825121818,5.821913539,5.79503699
227604_at,TMEM185B,0.003014889,0.011669444,-0.278027857,8.545555907,8.67621897,8.623692147,8.374685067,8.318173555,8.318524832
239831_at,TMEM106C,0.003015973,0.01166979,-0.606123763,7.5247184,7.843209254,7.899783461,6.86473132,7.386519915,7.19808859
1555426_a_at,OTUD5,0.00301758,0.011674082,0.306297661,6.976366533,6.981872287,6.833406881,7.189800551,7.311776814,7.208961321
233082_at,ZNF630,0.003019133,0.011678164,-0.285934547,8.105061697,8.143084612,8.093610402,7.736068801,7.876529218,7.871355052
203779_s_at,MPZL2,0.003020153,0.011678257,0.366649546,5.717044757,5.717044757,5.810643293,6.117835871,6.26581326,5.961032314
225702_at,C8orf76,0.0030197,0.011678257,0.374589642,9.696449107,9.697791159,9.686668522,9.889883993,10.22368027,10.09111345
218946_at,NFU1,0.00302479,0.011694259,-0.304271941,9.356550579,9.322122935,9.334113377,8.983153433,9.15207248,8.964745156
239792_at,UBL7-AS1,0.003027273,0.01170193,-0.343816995,8.22645792,8.468467127,8.239315695,7.984008533,7.998752876,7.920028347
210797_s_at,OASL,0.00302828,0.011703893,0.365001455,6.801508654,6.909001879,6.976234424,7.388972146,7.121381614,7.271395562
224831_at,CPEB4,0.003037387,0.011737156,-0.422181803,7.356881043,7.011441574,7.228307438,6.655888268,6.809530458,6.864665922
202513_s_at,PPP2R5D,0.003052056,0.011791897,0.2883088,8.014982513,8.021602758,7.894346078,8.312821278,8.213323832,8.269712639
